Refactoring Type	Source Method	Target Class
Move Method	com.ibm.ivj.util.base.Workspace::loadedProjectNamed(java.lang.String):com.ibm.ivj.util.base.Project 	 com.ibm.ivj.util.base.Project
Move Method	org.apache.tools.ant.AntClassLoader::findClassInComponents(java.lang.String):java.lang.Class 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.ComponentHelper::updateDataTypeDefinition(org.apache.tools.ant.AntTypeDefinition):void 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.DefaultLogger::formatTime(long):java.lang.String 	 org.apache.tools.ant.util.DateUtils
Move Method	org.apache.tools.ant.Diagnostics::getClassLocation(java.lang.Class):java.lang.String 	 org.apache.tools.ant.util.LoaderUtils
Move Method	org.apache.tools.ant.helper.ProjectHelper2::parseUnknownElement(org.apache.tools.ant.Project, java.net.URL):org.apache.tools.ant.UnknownElement 	 org.apache.tools.ant.Target
Move Method	org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler::init(java.lang.String, org.xml.sax.AttributeList):void 	 org.apache.tools.ant.helper.ProjectHelperImpl
Move Method	org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler::init(java.lang.String, org.xml.sax.AttributeList):void 	 org.apache.tools.ant.helper.ProjectHelperImpl
Move Method	org.apache.tools.ant.IntrospectionHelper::getHelper(org.apache.tools.ant.Project, java.lang.Class):org.apache.tools.ant.IntrospectionHelper 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.IntrospectionHelper::throwNotSupported(org.apache.tools.ant.Project, java.lang.Object, java.lang.String):void 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.IntrospectionHelper::createElement(org.apache.tools.ant.Project, java.lang.Object, java.lang.String):java.lang.Object 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.IntrospectionHelper.Creator::create():java.lang.Object 	 org.apache.tools.ant.ComponentHelper
Move Method	org.apache.tools.ant.IntrospectionHelper::createAddTypeCreator(org.apache.tools.ant.Project, java.lang.Object, java.lang.String):org.apache.tools.ant.IntrospectionHelper.NestedCreator 	 org.apache.tools.ant.ComponentHelper
Move Method	org.apache.tools.ant.Project::createClassLoader():org.apache.tools.ant.AntClassLoader 	 org.apache.tools.ant.AntClassLoader
Move Method	org.apache.tools.ant.Project::createClassLoader(org.apache.tools.ant.types.Path):org.apache.tools.ant.AntClassLoader 	 org.apache.tools.ant.AntClassLoader
Move Method	org.apache.tools.ant.Project::setInheritedProperty(java.lang.String, java.lang.String):void 	 org.apache.tools.ant.PropertyHelper
Move Method	org.apache.tools.ant.Project::setPropertyInternal(java.lang.String, java.lang.String):void 	 org.apache.tools.ant.PropertyHelper
Move Method	org.apache.tools.ant.Project::getProperty(java.lang.String):java.lang.String 	 org.apache.tools.ant.PropertyHelper
Move Method	org.apache.tools.ant.Project::replaceProperties(java.lang.String):java.lang.String 	 org.apache.tools.ant.PropertyHelper
Move Method	org.apache.tools.ant.Project::setBaseDir(java.io.File):void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.ProjectHelper::getProjectHelper():org.apache.tools.ant.ProjectHelper 	 org.apache.tools.ant.util.LoaderUtils
Move Method	org.apache.tools.ant.ProjectHelper::newHelper(java.lang.String):org.apache.tools.ant.ProjectHelper 	 org.apache.tools.ant.util.LoaderUtils
Move Method	org.apache.tools.ant.ProjectHelper::configure(java.lang.Object, org.xml.sax.AttributeList, org.apache.tools.ant.Project):void 	 org.apache.tools.ant.IntrospectionHelper
Move Method	org.apache.tools.ant.ProjectHelper::storeChild(org.apache.tools.ant.Project, java.lang.Object, java.lang.Object, java.lang.String):void 	 org.apache.tools.ant.IntrospectionHelper
Move Method	org.apache.tools.ant.taskdefs.Antlib::createAntlib(org.apache.tools.ant.Project, java.net.URL, java.lang.String):org.apache.tools.ant.taskdefs.Antlib 	 org.apache.tools.ant.ComponentHelper
Move Method	org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory::getCompiler(java.lang.String, org.apache.tools.ant.Task):org.apache.tools.ant.taskdefs.compilers.CompilerAdapter 	 org.apache.tools.ant.util.JavaEnvUtils
Move Method	org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter::setupJavacCommandlineSwitches(org.apache.tools.ant.types.Commandline, boolean):org.apache.tools.ant.types.Commandline 	 org.apache.tools.ant.taskdefs.Javac
Move Method	org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter::setupModernJavacCommandlineSwitches(org.apache.tools.ant.types.Commandline):org.apache.tools.ant.types.Commandline 	 org.apache.tools.ant.taskdefs.Javac
Move Method	org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter::logAndAddFilesToCompile(org.apache.tools.ant.types.Commandline):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter::executeExternalCompile(java.lang.String[], int, boolean):int 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter::addCurrentCompilerArgs(org.apache.tools.ant.types.Commandline):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javac::getCurrentCompilerArgs():java.lang.String[] 	 org.apache.tools.ant.util.facade.FacadeTaskHelper
Move Method	org.apache.tools.ant.taskdefs.Javac::scanDir(java.io.File, java.io.File, java.lang.String[]):void 	 org.apache.tools.ant.util.SourceFileScanner
Move Method	org.apache.tools.ant.taskdefs.Javac::setCompiler(java.lang.String):void 	 org.apache.tools.ant.util.facade.FacadeTaskHelper
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setMaxmemory(java.lang.String):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setAdditionalparam(java.lang.String):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setDestdir(java.io.File):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setOverview(java.io.File):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setAccess(org.apache.tools.ant.taskdefs.Javadoc.AccessType):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setExtdirs(java.lang.String):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.Javadoc::setExtdirs(org.apache.tools.ant.types.Path):void 	 org.apache.tools.ant.types.Commandline
Move Method	org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool::getNameAndTypeEntry(java.lang.String, java.lang.String):int 	 org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo
Move Method	org.apache.tools.ant.taskdefs.optional.dotnet.DotnetDefine::isSet(org.apache.tools.ant.Task):boolean 	 org.apache.tools.ant.Project
Move Method	org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand::setExecutableCommandLine():void 	 org.apache.tools.ant.util.FileUtils
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::getLocation():org.apache.tools.ant.Location 	 org.apache.tools.ant.Task
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::createAnalyzer():void 	 org.apache.tools.ant.Task
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool::checkAndAddDependants(java.util.Hashtable):void 	 org.apache.tools.ant.util.depend.DependencyAnalyzer
Move Method	org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc::buildArgumentList(org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo):java.lang.String[] 	 org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo
