Refactoring Type	Source Method	Target Class
Move Method	bsh.BSHAllocationExpression::constructWithClassBody(java.lang.Class, java.lang.Object[], bsh.BSHBlock, bsh.CallStack, bsh.Interpreter):java.lang.Object 	 bsh.Modifiers
Move Method	bsh.BshMethod::invoke(java.lang.Object[], bsh.Interpreter, bsh.CallStack, bsh.SimpleNode, boolean):java.lang.Object 	 bsh.Modifiers
Move Method	bsh.BshMethod::invokeImpl(java.lang.Object[], bsh.Interpreter, bsh.CallStack, bsh.SimpleNode, boolean):java.lang.Object 	 bsh.Interpreter
Move Method	bsh.ClassGeneratorImpl::generateClassImpl(java.lang.String, bsh.Modifiers, java.lang.Class[], java.lang.Class, bsh.BSHBlock, boolean, bsh.CallStack, bsh.Interpreter):java.lang.Class 	 bsh.ClassGeneratorUtil
Move Method	bsh.ClassGeneratorImpl::invokeSuperclassMethodImpl(bsh.BshClassManager, java.lang.Object, java.lang.String, java.lang.Object[]):java.lang.Object 	 bsh.Types
Move Method	bsh.ClassGeneratorUtil::getASMModifiers(bsh.Modifiers):int 	 bsh.Modifiers
Move Method	bsh.ClassGeneratorUtil::generateConstructorSwitch(int, int, int, org.objectweb.asm.CodeVisitor):void 	 org.objectweb.asm.CodeVisitor
Move Method	bsh.ClassGeneratorUtil::generateReturnCode(java.lang.String, org.objectweb.asm.CodeVisitor):void 	 org.objectweb.asm.CodeVisitor
Move Method	bsh.ClassGeneratorUtil::getClassStaticThis(java.lang.Class, java.lang.String):bsh.This 	 bsh.Reflect
Move Method	bsh.commands.dir::invoke(bsh.Interpreter, bsh.CallStack, java.lang.String):void 	 bsh.StringUtil
Move Method	bsh.Interpreter::invokeMain(java.lang.Class, java.lang.String[]):void 	 bsh.Reflect
Move Method	bsh.NameSpace::getImportedClassImpl(java.lang.String):java.lang.Class 	 bsh.BshClassManager
Move Method	bsh.Parser::ClassDeclaration():void 	 bsh.Token
Move Method	bsh.Parser::MethodDeclaration():void 	 bsh.Token
Move Method	bsh.Parser::ImportDeclaration():void 	 bsh.BSHImportDeclaration
Move Method	bsh.Parser::VariableDeclarator():void 	 bsh.Token
