Refactoring Type	Source Method	Target Class
Move Method	lucli.LuceneMethods::invertDocument(org.apache.lucene.document.Document):void 	 org.apache.lucene.document.Field
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getLoggingAnalyzer(org.apache.lucene.analysis.Analyzer, java.io.PrintStream, java.lang.String):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMaxTokenAnalyzer(org.apache.lucene.analysis.Analyzer, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.TokenStream
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getPorterStemmerAnalyzer(org.apache.lucene.analysis.Analyzer):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getSynonymAnalyzer(org.apache.lucene.analysis.Analyzer, org.apache.lucene.index.memory.SynonymMap, int):org.apache.lucene.analysis.Analyzer 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.memory.AnalyzerUtil::getMostFrequentTerms(org.apache.lucene.analysis.Analyzer, java.lang.String, int):java.lang.String[] 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.queryParser.precedence.PrecedenceQueryParser::getFieldQuery(java.lang.String, java.lang.String):org.apache.lucene.search.Query 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.queryParser.precedence.PrecedenceQueryParser::jj_scan_token(int):boolean 	 org.apache.lucene.queryParser.precedence.Token
Move Method	org.apache.lucene.queryParser.precedence.PrecedenceQueryParser::jj_ntk():int 	 org.apache.lucene.queryParser.precedence.Token
Move Method	org.apache.lucene.search.FuzzyLikeThisQuery::addTerms(org.apache.lucene.index.IndexReader, org.apache.lucene.search.FuzzyLikeThisQuery.FieldVals):void 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.search.similar.MoreLikeThis::addTermFrequencies(java.io.Reader, java.util.Map, java.lang.String):void 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.search.similar.SimilarityQueries::formSimilarQuery(java.lang.String, org.apache.lucene.analysis.Analyzer, java.lang.String, java.util.Set):org.apache.lucene.search.Query 	 org.apache.lucene.analysis.Token
Move Method	org.apache.lucene.search.similar.MoreLikeThis::addTermFrequencies(java.io.Reader, java.util.Map, java.lang.String):void 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.search.similar.SimilarityQueries::formSimilarQuery(java.lang.String, org.apache.lucene.analysis.Analyzer, java.lang.String, java.util.Set):org.apache.lucene.search.Query 	 org.apache.lucene.analysis.Token
